Student_ID,Age,Gender,Course_Year,Attendance_Percentage,Assignment_Submission_Rate,Quiz_Average_Score,Midterm_Score,Previous_GPA,Online_Learning_Hours,Course_Participation_Score,Forum_Activity_Count,Login_Frequency_Per_Week,Learning_Resource_Access_Count,Late_Submission_Count,Missing_Assignment_Count,Study_Plan_Adherence,Academic_Counseling_Received,Tutoring_Support_Received,Adaptive_Learning_Resource_Used,Performance_Score,Final_Academic_Score,Intervention_Recommendation,Academic_Risk_Level,Academic_Risk_Class
12,24,Male,2,85.59,25.52,60.48,26.22,3.21,8.63,61.89,36,13,26,8,6,93.46,0,1,1,38.72,43.32,Academic Counseling and Tutoring,High Risk,2
13,19,Male,1,53.35,86.94,16.14,67.81,2.11,14.64,48.4,10,10,26,7,5,33.41,1,0,1,39.45,45.0,Academic Counseling and Tutoring,High Risk,2
14,22,Female,1,46.84,58.35,81.33,28.5,2.18,10.73,94.35,26,8,66,7,4,22.78,1,0,1,43.06,46.27,Adaptive Learning Resources,Medium Risk,1
15,21,Female,4,72.87,99.14,93.77,98.61,2.72,1.52,83.79,5,5,77,4,7,34.19,0,1,1,54.94,60.45,Adaptive Learning Resources,Medium Risk,1
16,18,Male,3,74.98,77.4,86.7,88.24,3.96,9.86,44.82,42,2,38,6,6,51.31,0,0,1,61.33,65.78,Adaptive Learning Resources,Medium Risk,1
17,24,Female,3,42.9,99.41,18.16,21.89,1.51,7.54,28.86,29,14,14,4,1,33.98,0,0,0,44.08,48.98,Adaptive Learning Resources,Medium Risk,1
18,22,Male,1,35.16,56.28,59.58,87.32,1.9,9.72,34.75,42,4,16,9,1,23.31,0,0,1,41.0,45.72,Adaptive Learning Resources,Medium Risk,1
19,18,Male,1,94.65,31.26,84.19,41.05,2.95,9.54,74.01,34,11,7,6,2,37.84,0,1,0,63.04,66.9,Adaptive Learning Resources,Medium Risk,1
20,21,Female,4,40.18,78.18,44.25,54.1,3.1,2.59,65.05,44,1,40,5,4,92.05,0,1,0,45.24,50.28,Adaptive Learning Resources,Medium Risk,1
21,17,Male,1,93.36,82.22,91.25,22.85,3.12,13.83,98.46,17,13,14,3,4,78.98,0,0,1,80.6,83.6,Regular Monitoring,Low Risk,0
22,22,Male,2,60.95,88.23,90.38,20.67,2.79,8.54,21.08,5,9,77,6,0,34.83,0,0,0,65.84,66.06,Regular Monitoring,Low Risk,0
23,25,Male,1,77.45,44.12,27.04,87.89,2.76,10.66,90.14,12,6,75,5,3,66.61,0,1,0,64.65,67.35,Adaptive Learning Resources,Medium Risk,1
24,17,Female,3,47.06,60.85,56.96,66.69,1.44,6.11,21.14,37,7,27,6,7,87.77,0,0,0,20.88,29.64,Academic Counseling and Tutoring,High Risk,2
25,19,Male,1,88.55,88.6,17.18,51.44,3.5,2.27,53.98,11,1,28,9,2,97.53,0,1,1,48.12,52.56,Adaptive Learning Resources,Medium Risk,1
26,23,Male,2,46.71,89.18,38.96,13.25,1.03,10.52,93.33,6,5,23,0,7,21.31,0,1,1,31.8,38.88,Academic Counseling and Tutoring,High Risk,2
27,20,Male,4,60.12,22.05,84.01,92.98,2.25,14.17,72.67,13,9,66,8,4,32.32,1,1,1,52.33,52.99,Adaptive Learning Resources,Medium Risk,1
28,25,Male,3,50.47,73.67,97.89,43.85,1.65,8.93,66.66,8,1,44,9,0,95.19,1,0,1,54.09,60.05,Adaptive Learning Resources,Medium Risk,1
29,19,Male,1,89.44,68.13,92.63,47.5,1.31,3.38,45.08,34,1,44,7,0,90.21,0,0,0,53.27,55.72,Adaptive Learning Resources,Medium Risk,1
30,21,Male,3,90.79,26.67,18.62,36.08,1.96,9.54,97.29,6,11,66,2,4,40.42,1,1,1,51.55,57.89,Adaptive Learning Resources,Medium Risk,1
31,19,Male,1,59.18,94.41,93.77,90.22,2.97,6.72,33.46,38,2,12,0,2,31.8,1,1,1,80.8,83.9,Regular Monitoring,Low Risk,0
32,23,Female,2,54.98,55.63,84.93,41.01,2.49,6.29,41.59,20,3,35,1,2,84.31,0,0,0,64.98,69.54,Adaptive Learning Resources,Medium Risk,1
33,21,Male,3,85.28,73.94,88.75,25.68,3.62,13.75,56.24,18,14,68,5,1,23.94,0,0,1,83.91,87.25,Regular Monitoring,Low Risk,0
34,25,Male,1,92.1,90.62,92.76,55.05,2.8,11.19,30.1,26,6,78,6,7,67.69,0,0,0,52.7,58.45,Adaptive Learning Resources,Medium Risk,1
35,23,Male,2,75.56,30.41,56.5,80.33,1.76,7.88,53.88,1,11,59,1,1,92.15,0,1,1,74.38,77.19,Regular Monitoring,Low Risk,0
36,18,Male,3,95.28,88.47,32.95,43.42,2.55,6.55,23.15,13,6,12,7,2,30.3,0,0,1,46.06,50.07,Adaptive Learning Resources,Medium Risk,1
37,20,Female,4,59.9,77.94,16.79,68.68,1.68,4.02,93.93,36,10,51,5,7,25.64,0,0,0,26.77,32.19,Academic Counseling and Tutoring,High Risk,2
38,25,Male,2,44.87,87.17,17.0,37.38,1.54,5.48,45.77,32,10,73,4,0,69.68,0,1,0,52.92,56.19,Adaptive Learning Resources,Medium Risk,1
39,18,Male,1,46.68,59.59,69.61,74.78,3.87,8.34,70.7,43,14,11,4,7,67.21,0,1,0,57.43,61.14,Adaptive Learning Resources,Medium Risk,1
40,25,Female,2,78.54,22.68,43.67,70.19,2.4,1.2,89.64,11,1,9,5,5,20.72,0,0,1,30.3,35.28,Academic Counseling and Tutoring,High Risk,2
41,21,Male,2,61.49,73.64,57.15,71.27,2.95,5.68,85.47,20,3,65,0,1,45.71,0,0,1,82.09,84.31,Regular Monitoring,Low Risk,0
42,18,Male,2,45.16,49.96,26.16,68.13,3.62,7.66,89.87,29,13,31,2,0,93.79,0,1,0,85.1,85.92,Regular Monitoring,Low Risk,0
43,20,Male,2,53.99,52.19,97.92,24.07,1.97,9.32,77.62,21,13,37,6,1,34.53,0,0,0,57.55,62.21,Adaptive Learning Resources,Medium Risk,1
44,23,Male,3,69.49,55.3,26.05,89.92,3.37,11.27,35.5,1,9,31,5,0,59.94,0,1,1,76.56,77.6,Regular Monitoring,Low Risk,0
45,24,Male,1,42.89,59.43,52.81,62.72,3.37,0.7,49.32,28,8,57,6,3,44.96,0,0,0,46.45,49.37,Adaptive Learning Resources,Medium Risk,1
46,19,Male,1,35.22,72.95,52.69,44.41,3.47,4.77,60.96,23,11,70,1,7,91.88,1,0,0,53.47,57.96,Adaptive Learning Resources,Medium Risk,1
47,17,Female,2,94.62,78.14,15.73,25.51,1.57,4.28,46.96,31,9,20,5,4,59.26,0,1,0,32.45,39.68,Academic Counseling and Tutoring,High Risk,2
48,20,Female,2,54.82,82.15,71.76,80.52,3.89,8.06,96.42,44,11,50,4,2,53.29,0,0,0,85.65,87.98,Regular Monitoring,Low Risk,0
49,18,Male,4,49.4,73.73,60.75,55.81,1.82,7.26,84.55,11,8,78,2,3,90.78,1,1,0,63.56,70.65,Adaptive Learning Resources,Medium Risk,1
50,24,Male,2,80.4,84.28,57.29,23.26,3.33,1.66,83.92,6,9,63,9,2,69.76,0,1,1,52.05,54.51,Adaptive Learning Resources,Medium Risk,1
51,20,Male,4,90.47,29.77,84.54,92.93,1.49,11.54,48.89,1,7,62,1,7,45.36,0,1,0,53.45,59.8,Adaptive Learning Resources,Medium Risk,1
52,18,Male,4,76.1,86.95,35.5,19.55,3.77,10.47,80.39,39,10,26,4,7,99.42,1,1,1,54.74,58.34,Adaptive Learning Resources,Medium Risk,1
53,22,Male,4,51.54,50.98,88.19,57.18,2.28,12.41,69.12,18,13,79,6,6,92.84,0,0,0,51.99,55.96,Adaptive Learning Resources,Medium Risk,1
54,22,Female,1,91.01,62.3,88.51,64.95,3.01,2.11,50.02,17,14,12,5,5,37.49,1,1,0,53.07,59.76,Adaptive Learning Resources,Medium Risk,1
55,20,Female,4,68.18,54.7,85.28,99.91,3.55,7.84,44.66,33,9,31,2,0,17.88,0,1,0,90.49,91.29,Regular Monitoring,Low Risk,0
56,22,Female,1,59.78,58.06,44.02,22.68,1.85,9.25,83.11,1,3,72,5,1,25.27,1,1,1,49.18,54.91,Adaptive Learning Resources,Medium Risk,1
57,18,Female,1,74.31,42.83,28.82,65.22,2.17,1.21,67.74,44,6,67,8,1,28.15,1,0,0,39.59,43.31,Academic Counseling and Tutoring,High Risk,2
58,18,Male,2,80.54,33.6,55.39,52.9,1.94,14.41,22.96,37,6,36,2,6,77.47,0,1,1,47.62,51.0,Adaptive Learning Resources,Medium Risk,1
59,20,Male,1,73.6,28.39,37.09,33.14,1.85,12.02,21.74,39,14,44,1,1,46.97,0,0,0,62.08,65.42,Adaptive Learning Resources,Medium Risk,1
60,24,Male,1,94.82,56.11,19.44,94.8,2.53,4.03,87.36,18,13,68,8,6,43.83,0,0,1,39.76,47.02,Academic Counseling and Tutoring,High Risk,2
61,23,Male,2,75.82,30.02,38.75,81.18,2.64,9.62,27.19,5,1,52,4,7,62.5,1,0,0,36.81,42.83,Academic Counseling and Tutoring,High Risk,2
62,25,Female,1,92.11,39.6,54.88,79.94,1.23,2.58,61.55,40,12,47,0,4,26.52,0,1,1,53.29,57.6,Adaptive Learning Resources,Medium Risk,1
63,24,Male,3,73.15,30.69,24.58,90.93,3.02,13.16,68.69,16,13,63,0,4,38.45,0,0,0,75.54,75.66,Regular Monitoring,Low Risk,0
64,21,Female,1,56.43,28.73,95.27,75.25,2.26,1.93,93.28,22,14,63,8,5,56.22,0,1,1,40.06,43.95,Adaptive Learning Resources,Medium Risk,1
65,18,Male,2,69.6,90.6,70.77,55.61,3.67,13.61,61.16,39,12,33,7,2,54.82,0,0,1,76.77,79.17,Regular Monitoring,Low Risk,0
66,21,Female,4,40.61,73.92,26.59,45.24,3.66,12.5,35.52,8,11,18,1,1,66.99,1,1,0,78.72,81.68,Regular Monitoring,Low Risk,0
67,24,Female,2,49.96,93.9,84.03,73.37,3.16,7.43,40.85,36,10,52,0,3,41.34,0,0,1,80.62,83.3,Regular Monitoring,Low Risk,0
68,25,Female,3,84.81,71.52,93.89,64.25,3.56,9.96,23.91,37,10,29,9,2,47.5,1,0,0,65.5,67.57,Regular Monitoring,Low Risk,0
69,25,Female,4,78.0,87.52,37.34,58.86,3.77,4.06,37.76,20,7,52,8,4,20.39,1,1,1,45.62,50.07,Adaptive Learning Resources,Medium Risk,1
70,17,Male,1,45.82,64.42,27.18,63.02,2.73,6.07,85.21,20,3,20,3,4,70.17,0,0,0,49.99,55.11,Adaptive Learning Resources,Medium Risk,1
71,25,Female,2,63.47,57.01,42.41,68.98,3.92,3.65,80.55,26,12,58,5,1,57.44,0,0,1,73.75,74.22,Regular Monitoring,Low Risk,0
72,23,Female,4,44.23,62.28,85.74,97.18,3.87,8.15,26.56,10,14,76,3,4,18.55,0,0,1,73.78,76.12,Regular Monitoring,Low Risk,0
73,25,Female,4,90.63,45.62,29.88,77.78,1.33,5.12,58.37,38,2,8,9,0,57.9,0,0,1,40.17,42.24,Adaptive Learning Resources,Medium Risk,1
74,24,Female,3,42.1,72.64,81.24,25.88,2.57,5.6,44.15,29,7,9,3,4,37.2,1,0,0,45.2,50.88,Adaptive Learning Resources,Medium Risk,1
75,17,Female,1,77.53,91.77,75.88,52.01,1.34,6.92,72.0,27,14,31,7,5,27.47,0,0,1,39.46,45.13,Academic Counseling and Tutoring,High Risk,2
76,24,Female,4,74.46,82.59,70.37,71.04,3.05,13.15,96.91,19,10,8,8,1,15.43,1,1,0,73.13,77.03,Regular Monitoring,Low Risk,0
77,24,Female,1,65.73,56.96,51.83,25.81,3.3,8.45,70.45,44,4,59,4,7,98.43,0,1,0,44.39,47.39,Adaptive Learning Resources,Medium Risk,1
78,19,Female,2,53.09,96.31,46.18,93.94,3.65,12.2,79.66,37,7,28,2,2,95.57,0,0,0,92.51,93.77,Regular Monitoring,Low Risk,0
79,17,Male,2,61.26,98.83,22.25,16.93,2.95,12.8,51.85,3,1,41,6,4,85.12,0,0,1,46.88,50.66,Adaptive Learning Resources,Medium Risk,1
80,24,Male,2,87.42,59.45,45.38,64.99,2.36,4.06,22.62,17,10,37,1,3,33.37,0,0,1,58.42,62.59,Adaptive Learning Resources,Medium Risk,1
81,19,Male,4,84.5,89.17,66.16,97.83,1.47,11.78,53.45,28,8,20,1,6,88.85,1,1,0,64.99,68.34,Adaptive Learning Resources,Medium Risk,1
82,19,Male,4,83.02,20.38,91.35,75.51,1.38,9.91,60.86,35,2,57,8,7,91.26,1,0,0,29.02,37.52,Academic Counseling and Tutoring,High Risk,2
83,17,Male,3,83.74,25.33,85.82,70.95,2.46,7.86,59.41,26,8,71,5,3,21.94,1,0,0,57.76,64.78,Adaptive Learning Resources,Medium Risk,1
84,21,Male,1,44.35,21.79,17.74,99.77,3.5,1.79,38.68,0,8,25,8,0,59.33,0,1,1,50.54,53.62,Adaptive Learning Resources,Medium Risk,1
85,23,Female,3,41.44,81.85,26.8,81.26,3.25,8.8,58.0,34,9,25,4,2,24.09,1,0,0,64.25,65.47,Adaptive Learning Resources,Medium Risk,1
86,25,Male,3,91.0,26.38,87.12,97.33,3.64,2.75,77.44,4,4,31,0,0,60.31,0,1,0,94.96,96.29,Regular Monitoring,Low Risk,0
87,23,Male,2,89.42,21.36,94.84,72.9,3.43,12.34,44.92,5,12,40,1,5,86.77,1,1,0,79.46,81.8,Regular Monitoring,Low Risk,0
88,25,Female,4,79.29,31.79,19.74,69.89,1.62,14.05,70.72,35,1,46,2,0,68.27,1,1,0,69.02,68.56,Regular Monitoring,Low Risk,0
89,24,Female,4,74.38,44.5,74.61,78.63,1.6,7.43,32.26,4,10,50,9,7,20.35,0,0,1,20.23,25.02,Academic Counseling and Tutoring,High Risk,2
90,18,Female,3,58.85,57.18,46.09,26.99,2.37,6.89,42.24,43,8,36,7,7,15.84,1,0,1,16.59,25.17,Academic Counseling and Tutoring,High Risk,2
91,17,Female,1,49.57,25.23,45.96,82.52,1.57,7.59,90.71,31,9,21,2,1,23.01,0,1,0,59.21,60.88,Adaptive Learning Resources,Medium Risk,1
92,23,Female,3,78.4,59.92,69.63,97.31,1.56,1.47,70.13,38,11,37,2,1,92.24,0,0,0,72.58,74.86,Regular Monitoring,Low Risk,0
93,23,Male,4,94.35,39.84,83.87,65.05,1.8,3.94,26.87,44,14,76,6,1,98.75,0,1,0,62.09,67.89,Adaptive Learning Resources,Medium Risk,1
94,24,Female,2,63.4,41.95,38.36,11.11,1.07,14.14,41.17,30,9,20,8,3,56.09,0,1,0,25.82,32.14,Academic Counseling and Tutoring,High Risk,2
95,21,Female,4,54.71,85.75,74.96,16.49,2.71,5.5,99.52,39,6,41,3,4,45.35,0,1,0,54.56,56.81,Adaptive Learning Resources,Medium Risk,1
96,19,Male,2,52.6,98.95,69.05,31.12,2.19,9.07,41.61,44,8,23,3,2,44.27,1,0,1,59.95,62.36,Adaptive Learning Resources,Medium Risk,1
97,24,Male,3,36.54,57.11,58.97,54.2,1.71,9.91,66.44,43,8,66,8,6,51.12,0,0,0,25.98,30.18,Academic Counseling and Tutoring,High Risk,2
98,22,Female,3,68.82,45.74,66.21,47.24,1.4,13.22,64.03,41,5,24,4,1,48.6,1,0,0,58.56,64.58,Adaptive Learning Resources,Medium Risk,1
99,19,Male,3,99.24,94.52,16.53,98.13,2.37,3.95,52.19,9,4,25,5,2,80.22,0,0,0,62.13,66.32,Adaptive Learning Resources,Medium Risk,1
100,17,Female,4,87.99,60.04,15.35,95.1,2.81,13.41,22.7,30,10,40,6,7,59.9,1,0,1,44.57,48.48,Adaptive Learning Resources,Medium Risk,1
101,19,Male,1,93.34,78.43,61.79,45.35,3.92,6.18,42.75,7,10,39,5,0,22.34,0,0,0,78.35,78.95,Regular Monitoring,Low Risk,0
102,21,Female,1,75.38,53.1,59.55,81.49,1.76,13.87,96.27,26,11,48,1,6,22.47,0,0,1,61.66,65.14,Adaptive Learning Resources,Medium Risk,1
103,19,Male,3,66.29,36.2,21.06,67.27,1.08,6.46,21.54,28,2,8,8,5,24.45,0,0,0,7.1,16.97,Academic Counseling and Tutoring,High Risk,2
104,17,Male,1,99.38,72.39,56.82,31.88,3.21,2.01,77.25,13,3,45,1,4,48.08,0,0,0,61.87,68.66,Adaptive Learning Resources,Medium Risk,1
105,21,Male,2,64.07,73.19,79.39,93.81,1.71,1.26,91.42,22,11,74,8,3,37.88,1,0,0,48.42,51.84,Adaptive Learning Resources,Medium Risk,1
106,23,Female,1,94.59,56.81,61.0,33.36,2.45,14.53,80.99,3,12,42,5,6,46.47,0,0,0,52.69,58.49,Adaptive Learning Resources,Medium Risk,1
107,23,Female,1,84.52,41.6,59.0,88.33,3.42,2.26,45.86,33,3,43,4,2,22.96,1,1,0,62.27,66.09,Adaptive Learning Resources,Medium Risk,1
108,25,Female,3,56.51,86.55,76.02,67.39,1.11,8.35,61.64,40,12,75,7,4,92.08,0,0,0,47.53,51.66,Adaptive Learning Resources,Medium Risk,1
109,19,Male,3,67.7,42.03,29.61,65.9,1.42,8.14,89.4,37,6,49,1,2,85.4,0,0,1,61.6,64.76,Adaptive Learning Resources,Medium Risk,1
110,23,Female,1,59.98,72.72,53.89,85.46,1.29,6.32,98.04,26,7,73,0,0,62.55,0,0,1,80.29,81.51,Regular Monitoring,Low Risk,0
111,17,Male,1,43.85,50.72,27.58,54.49,1.7,6.56,27.76,18,6,23,6,1,63.55,1,1,1,38.4,48.22,Academic Counseling and Tutoring,High Risk,2
112,20,Male,1,58.19,57.8,59.53,86.8,1.52,7.4,29.95,30,11,64,5,0,57.85,0,0,1,62.55,68.07,Adaptive Learning Resources,Medium Risk,1
113,20,Male,2,92.78,36.91,65.32,59.52,1.95,1.94,96.46,2,14,58,3,2,34.4,0,0,0,61.86,64.82,Adaptive Learning Resources,Medium Risk,1
114,21,Female,1,83.92,71.96,25.34,98.62,3.24,11.97,89.81,28,1,57,3,3,70.62,0,0,1,78.58,80.95,Regular Monitoring,Low Risk,0
115,23,Male,2,53.04,38.07,21.42,69.39,1.13,5.97,36.89,12,7,35,5,2,22.8,1,1,1,31.88,36.09,Academic Counseling and Tutoring,High Risk,2
116,23,Male,3,58.91,58.86,29.17,43.67,1.22,4.05,97.61,26,12,24,6,5,64.68,0,0,0,26.84,30.37,Academic Counseling and Tutoring,High Risk,2
117,20,Female,3,75.07,46.28,64.84,78.7,2.69,5.11,36.72,42,13,29,1,6,52.41,0,0,1,55.34,58.23,Adaptive Learning Resources,Medium Risk,1
118,23,Female,2,62.05,97.09,31.12,55.89,2.56,9.37,27.08,31,9,42,6,3,19.91,0,1,1,48.39,50.24,Adaptive Learning Resources,Medium Risk,1
119,19,Male,3,67.7,98.58,38.4,82.54,2.42,11.74,74.55,36,8,11,9,3,51.76,0,0,0,53.38,61.59,Adaptive Learning Resources,Medium Risk,1
120,22,Male,4,80.38,80.28,74.72,85.01,2.55,2.72,63.18,2,11,53,6,6,65.26,1,0,0,49.23,52.85,Adaptive Learning Resources,Medium Risk,1
121,18,Male,2,65.37,98.71,36.11,65.52,3.23,9.09,39.17,38,5,57,5,2,21.77,1,1,0,63.64,67.06,Adaptive Learning Resources,Medium Risk,1
122,25,Male,2,47.41,29.08,48.79,88.5,2.73,6.62,94.26,5,4,24,2,2,40.37,1,0,0,64.23,66.95,Adaptive Learning Resources,Medium Risk,1
123,21,Female,3,68.84,99.39,93.95,46.31,2.37,13.0,52.34,2,5,11,7,3,32.21,0,0,1,57.13,59.41,Adaptive Learning Resources,Medium Risk,1
124,22,Male,1,58.15,28.28,85.12,15.16,1.25,14.26,52.23,12,13,66,0,2,17.02,0,0,0,61.41,65.28,Adaptive Learning Resources,Medium Risk,1
125,20,Female,3,53.9,53.24,36.72,69.64,3.92,10.34,70.55,10,3,30,7,4,21.95,1,0,0,50.5,57.42,Adaptive Learning Resources,Medium Risk,1
126,23,Female,4,56.33,39.12,65.79,78.8,1.72,9.05,38.46,26,9,47,6,3,31.07,0,0,0,44.3,48.39,Adaptive Learning Resources,Medium Risk,1
127,25,Male,2,63.54,96.31,71.59,16.55,3.61,11.82,66.95,1,5,42,1,5,65.99,0,0,1,70.26,70.04,Regular Monitoring,Low Risk,0
128,23,Female,3,92.63,70.86,91.52,79.38,2.14,7.69,49.12,39,7,70,0,6,95.17,0,1,0,70.23,71.37,Regular Monitoring,Low Risk,0
129,17,Male,3,82.71,67.77,61.53,67.52,3.05,1.3,75.6,43,7,45,7,3,70.84,0,0,1,54.53,59.08,Adaptive Learning Resources,Medium Risk,1
130,17,Male,1,78.41,99.8,62.71,20.48,2.36,10.67,39.82,11,1,30,3,2,98.34,0,0,0,65.29,66.28,Regular Monitoring,Low Risk,0
131,25,Male,1,65.63,68.99,90.52,58.59,2.06,8.92,34.84,39,6,51,9,0,97.26,1,0,0,60.26,66.85,Adaptive Learning Resources,Medium Risk,1
132,25,Male,4,35.12,71.69,19.62,19.79,2.84,2.7,39.99,11,13,21,9,4,59.25,0,0,0,20.87,28.07,Academic Counseling and Tutoring,High Risk,2
133,20,Male,4,57.14,23.58,68.39,38.95,2.61,3.59,94.87,22,4,64,8,2,33.86,0,1,0,39.94,49.44,Academic Counseling and Tutoring,High Risk,2
134,25,Male,3,87.86,88.72,50.42,82.36,1.7,3.84,87.94,30,3,9,3,1,92.61,0,0,1,69.65,72.45,Regular Monitoring,Low Risk,0
135,19,Female,4,60.23,97.61,92.33,19.07,2.01,11.12,86.31,9,13,66,7,4,60.51,0,0,0,54.0,57.39,Adaptive Learning Resources,Medium Risk,1
136,23,Female,2,71.65,96.82,96.65,51.34,1.1,8.02,82.46,34,3,45,7,1,27.91,1,1,0,54.61,59.04,Adaptive Learning Resources,Medium Risk,1
137,22,Female,1,48.31,37.69,29.47,64.51,1.58,1.19,70.96,5,14,17,0,6,47.18,0,0,1,35.0,44.18,Academic Counseling and Tutoring,High Risk,2
138,24,Male,2,94.53,38.07,38.92,94.65,2.01,12.65,27.87,24,6,70,4,6,43.38,0,0,1,47.41,51.69,Adaptive Learning Resources,Medium Risk,1
139,25,Female,1,95.01,49.28,38.24,76.35,3.92,9.85,45.97,30,1,51,3,6,45.62,0,1,1,59.26,63.37,Adaptive Learning Resources,Medium Risk,1
140,21,Female,4,44.49,44.82,23.55,22.53,2.58,11.13,64.95,29,5,14,3,6,23.44,0,0,1,30.72,37.2,Academic Counseling and Tutoring,High Risk,2
141,17,Female,4,82.07,44.45,56.05,97.2,3.1,14.09,28.46,14,4,66,8,4,54.23,0,0,0,56.6,59.71,Adaptive Learning Resources,Medium Risk,1
142,19,Female,4,39.89,68.42,58.61,53.02,3.02,4.27,22.41,2,10,73,2,6,59.71,0,1,0,46.41,49.86,Adaptive Learning Resources,Medium Risk,1
143,24,Female,3,73.91,84.45,63.7,43.27,3.94,9.05,27.47,17,8,2,7,3,89.5,0,1,0,62.26,70.35,Adaptive Learning Resources,Medium Risk,1
144,22,Male,2,46.61,94.94,71.35,21.58,2.67,11.52,28.65,16,9,21,8,7,20.46,0,1,0,25.99,32.55,Academic Counseling and Tutoring,High Risk,2
145,24,Female,1,44.47,25.43,20.35,94.01,2.76,7.94,28.76,13,8,26,7,6,83.92,0,1,1,29.91,36.18,Academic Counseling and Tutoring,High Risk,2
146,25,Male,2,35.27,42.24,67.91,62.76,1.9,7.55,35.21,15,7,30,3,6,68.41,1,1,0,35.54,40.81,Academic Counseling and Tutoring,High Risk,2
147,20,Female,3,96.16,40.4,92.67,98.92,2.88,13.97,59.93,26,3,68,1,7,97.16,0,0,1,75.27,76.85,Regular Monitoring,Low Risk,0
148,17,Male,2,88.9,48.6,53.67,25.65,3.27,4.03,42.84,42,8,19,9,4,85.41,1,1,0,36.72,41.46,Academic Counseling and Tutoring,High Risk,2
149,17,Male,4,40.04,53.95,24.07,59.13,1.31,9.97,88.81,36,1,58,6,2,53.33,1,0,0,39.48,45.27,Academic Counseling and Tutoring,High Risk,2
150,20,Male,4,73.96,51.13,22.31,19.89,2.44,14.57,90.09,32,4,54,2,6,81.24,1,0,0,49.42,52.77,Adaptive Learning Resources,Medium Risk,1
151,23,Female,1,50.14,96.17,38.95,57.18,2.27,3.69,93.62,19,14,71,5,1,93.43,0,0,0,66.99,66.97,Regular Monitoring,Low Risk,0
152,18,Male,1,52.16,54.97,78.96,90.08,1.34,7.2,57.69,24,3,63,2,0,57.16,0,0,0,70.16,71.38,Regular Monitoring,Low Risk,0
153,19,Male,3,91.82,64.13,37.18,19.84,2.02,14.64,81.92,13,11,53,3,1,37.63,0,0,0,70.08,73.25,Regular Monitoring,Low Risk,0
154,17,Female,1,42.43,79.89,84.22,34.27,2.61,1.02,67.28,36,3,79,1,5,49.4,0,0,0,49.54,56.19,Adaptive Learning Resources,Medium Risk,1
155,21,Female,4,74.1,78.01,84.67,71.42,2.95,9.63,31.55,4,2,27,4,5,50.94,0,0,1,57.67,64.8,Adaptive Learning Resources,Medium Risk,1
156,17,Male,3,61.08,66.64,53.85,16.87,1.87,6.37,70.86,36,7,72,9,7,66.13,0,0,1,15.61,22.24,Academic Counseling and Tutoring,High Risk,2
157,24,Male,1,47.4,88.87,40.57,50.86,2.43,11.68,86.96,9,14,12,6,6,51.23,0,1,1,44.08,48.33,Adaptive Learning Resources,Medium Risk,1
158,17,Female,2,64.37,69.93,65.8,39.98,3.2,5.19,47.84,9,14,22,1,3,66.01,0,0,1,69.49,74.55,Regular Monitoring,Low Risk,0
